ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-10-15 00:00:00+00:00,32,1,230943,71.66,71.67,71.62,71.62,123,CL.c.0
2024-10-15 00:00:01+00:00,32,1,230943,71.62,71.63,71.62,71.62,6,CL.c.0
2024-10-15 00:00:02+00:00,32,1,230943,71.61,71.61,71.6,71.6,16,CL.c.0
2024-10-15 00:00:03+00:00,32,1,230943,71.6,71.6,71.58,71.58,20,CL.c.0
2024-10-15 00:00:04+00:00,32,1,230943,71.58,71.59,71.58,71.59,8,CL.c.0
2024-10-15 00:00:05+00:00,32,1,230943,71.59,71.59,71.58,71.58,9,CL.c.0
2024-10-15 00:00:06+00:00,32,1,230943,71.58,71.58,71.56,71.56,21,CL.c.0
2024-10-15 00:00:07+00:00,32,1,230943,71.55,71.57,71.55,71.56,49,CL.c.0
2024-10-15 00:00:08+00:00,32,1,230943,71.56,71.56,71.55,71.56,5,CL.c.0
2024-10-15 00:00:09+00:00,32,1,230943,71.57,71.57,71.55,71.55,6,CL.c.0
2024-10-15 00:00:10+00:00,32,1,230943,71.55,71.55,71.53,71.54,24,CL.c.0
2024-10-15 00:00:11+00:00,32,1,230943,71.54,71.54,71.54,71.54,1,CL.c.0
2024-10-15 00:00:12+00:00,32,1,230943,71.55,71.55,71.52,71.54,38,CL.c.0
2024-10-15 00:00:15+00:00,32,1,230943,71.55,71.56,71.55,71.55,22,CL.c.0
2024-10-15 00:00:16+00:00,32,1,230943,71.55,71.56,71.55,71.56,3,CL.c.0
2024-10-15 00:00:17+00:00,32,1,230943,71.55,71.55,71.53,71.54,23,CL.c.0
2024-10-15 00:00:18+00:00,32,1,230943,71.54,71.55,71.54,71.55,6,CL.c.0
2024-10-15 00:00:19+00:00,32,1,230943,71.56,71.56,71.56,71.56,8,CL.c.0
2024-10-15 00:00:20+00:00,32,1,230943,71.56,71.56,71.54,71.55,11,CL.c.0
2024-10-15 00:00:21+00:00,32,1,230943,71.54,71.54,71.54,71.54,4,CL.c.0
2024-10-15 00:00:22+00:00,32,1,230943,71.54,71.56,71.54,71.55,17,CL.c.0
2024-10-15 00:00:24+00:00,32,1,230943,71.56,71.56,71.56,71.56,3,CL.c.0
2024-10-15 00:00:25+00:00,32,1,230943,71.56,71.56,71.56,71.56,1,CL.c.0
2024-10-15 00:00:27+00:00,32,1,230943,71.56,71.56,71.56,71.56,1,CL.c.0
2024-10-15 00:00:29+00:00,32,1,230943,71.57,71.57,71.57,71.57,1,CL.c.0
2024-10-15 00:00:30+00:00,32,1,230943,71.56,71.56,71.56,71.56,1,CL.c.0
2024-10-15 00:00:31+00:00,32,1,230943,71.56,71.56,71.56,71.56,1,CL.c.0
2024-10-15 00:00:33+00:00,32,1,230943,71.55,71.55,71.55,71.55,4,CL.c.0
2024-10-15 00:00:35+00:00,32,1,230943,71.56,71.56,71.55,71.55,4,CL.c.0
2024-10-15 00:00:36+00:00,32,1,230943,71.55,71.55,71.55,71.55,1,CL.c.0
2024-10-15 00:00:37+00:00,32,1,230943,71.56,71.56,71.56,71.56,3,CL.c.0
2024-10-15 00:00:38+00:00,32,1,230943,71.57,71.57,71.57,71.57,4,CL.c.0
2024-10-15 00:00:40+00:00,32,1,230943,71.57,71.57,71.57,71.57,2,CL.c.0
2024-10-15 00:00:41+00:00,32,1,230943,71.57,71.57,71.57,71.57,14,CL.c.0
2024-10-15 00:00:47+00:00,32,1,230943,71.56,71.56,71.56,71.56,12,CL.c.0
2024-10-15 00:00:48+00:00,32,1,230943,71.57,71.57,71.57,71.57,5,CL.c.0
2024-10-15 00:00:53+00:00,32,1,230943,71.58,71.59,71.58,71.58,9,CL.c.0
2024-10-15 00:01:00+00:00,32,1,230943,71.59,71.6,71.58,71.59,17,CL.c.0
2024-10-15 00:01:02+00:00,32,1,230943,71.58,71.59,71.58,71.59,17,CL.c.0
2024-10-15 00:01:03+00:00,32,1,230943,71.59,71.59,71.59,71.59,2,CL.c.0
2024-10-15 00:01:04+00:00,32,1,230943,71.6,71.6,71.6,71.6,3,CL.c.0
2024-10-15 00:01:08+00:00,32,1,230943,71.61,71.61,71.6,71.6,19,CL.c.0
2024-10-15 00:01:09+00:00,32,1,230943,71.61,71.61,71.61,71.61,4,CL.c.0
2024-10-15 00:01:10+00:00,32,1,230943,71.61,71.61,71.6,71.61,7,CL.c.0
2024-10-15 00:01:13+00:00,32,1,230943,71.6,71.6,71.6,71.6,2,CL.c.0
2024-10-15 00:01:17+00:00,32,1,230943,71.6,71.63,71.6,71.62,26,CL.c.0
2024-10-15 00:01:18+00:00,32,1,230943,71.63,71.63,71.63,71.63,4,CL.c.0
2024-10-15 00:01:19+00:00,32,1,230943,71.64,71.66,71.64,71.66,33,CL.c.0
2024-10-15 00:01:20+00:00,32,1,230943,71.65,71.7,71.65,71.67,90,CL.c.0
2024-10-15 00:01:21+00:00,32,1,230943,71.67,71.67,71.67,71.67,5,CL.c.0
